x1,x2,x3,x4,y
2.0,0.6,6.66,20.0,958.0
0.7,0.42,13.98,7.0,680.059998
0.9,0.54,9.0,13.5,1016.799988
3.0,0.9,9.99,45.0,1713.150024
2.0,1.2,19.98,10.0,830.530029
9.5,2.85,31.59,95.0,3711.040039
0.9,0.81,13.5,9.0,668.059998
0.6,0.36,3.96,6.0,267.440002
0.6,0.36,6.0,3.0,304.799988
3.0,1.8,19.98,45.0,2029.599976
0.7,0.42,4.64,3.5,260.089996
2.5,1.5,24.959999,37.5,2156.219971
0.6,0.36,3.96,6.0,271.230011
4.0,1.2,13.32,20.0,1268.550049
0.5,0.45,4.95,5.0,291.850006
4.0,1.2,19.98,40.0,2063.76001
0.9,0.27,9.0,9.0,706.099976
0.8,0.24,7.98,1.6,407.149994
8.0,7.2,79.919998,120.0,6107.359863
0.6,0.18,6.0,9.0,525.669983
0.5,0.45,7.5,2.5,323.369995
8.0,2.4,26.639999,120.0,4257.720215
6.5,1.95,32.459999,32.5,2640.22998
0.7,0.21,6.99,7.0,454.890015
0.8,0.24,3.96,1.6,157.809998
0.9,0.81,13.5,4.5,607.289978
2.5,2.25,24.93,12.5,1582.660034
2.5,1.5,16.65,25.0,1566.890015
0.5,0.3,4.98,5.0,301.869995
2.0,1.8,19.98,30.0,1760.849976
0.9,0.54,5.94,13.5,839.190002
0.6,0.36,3.96,3.0,207.270004
0.8,0.48,7.98,12.0,940.809998
0.7,0.42,4.64,7.0,327.649994
1.5,1.35,22.5,7.5,855.169983
0.7,0.21,3.48,1.4,192.789993
0.5,0.15,1.64,1.0,71.580002
2.5,0.75,12.48,5.0,544.48999
4.0,2.4,26.639999,20.0,1807.680054
0.9,0.27,4.5,13.5,787.450012
8.0,7.2,120.0,120.0,8269.709961
0.6,0.18,1.98,9.0,256.559998
0.7,0.21,3.48,7.0,276.549988
5.0,3.0,49.98,75.0,4039.780029
0.7,0.21,6.99,1.4,331.850006
0.7,0.21,6.99,1.4,215.149994
8.0,4.8,53.279999,16.0,3023.929932
11.0,3.3,54.959999,165.0,6970.02002
4.0,3.6,39.959999,20.0,2288.51001
3.0,1.8,30.0,45.0,2584.560059
2.0,1.2,13.32,30.0,1460.170044
8.0,4.8,53.279999,120.0,4886.060059
0.7,0.21,2.3,7.0,229.559998
11.0,3.3,54.959999,165.0,7043.950195
0.7,0.21,3.48,3.5,237.570007
6.5,3.9,64.980003,97.5,5403.209961
0.9,0.54,5.94,9.0,399.649994
8.0,4.8,79.980003,120.0,6545.149902
0.6,0.36,3.96,3.0,210.660004
1.5,1.35,22.5,15.0,1522.25
2.5,1.5,16.65,12.5,1226.829956
0.8,0.24,3.96,4.0,270.040009
3.0,2.7,29.969999,15.0,1808.290039
0.6,0.54,9.0,3.0,386.01001
0.8,0.24,2.64,4.0,185.940002
0.7,0.42,4.64,3.5,243.860001
0.9,0.27,4.5,9.0,392.390015
8.0,2.4,26.639999,80.0,3075.209961
0.9,0.81,13.5,13.5,1239.609985
0.6,0.54,5.94,3.0,275.149994
0.6,0.36,6.0,6.0,421.769989
0.8,0.72,7.92,4.0,373.5
6.5,5.85,64.980003,97.5,5119.910156
0.8,0.48,5.31,12.0,786.929993
0.7,0.21,6.99,3.5,365.920013
0.6,0.54,18.0,9.0,1079.47998
0.9,0.54,18.0,9.0,1079.47998
8.0,4.8,79.980003,40.0,4670.790039
8.0,2.4,39.959999,16.0,2737.320068
6.5,5.85,97.5,97.5,6801.47998
0.8,0.48,5.31,1.6,236.050003
4.0,3.6,60.0,40.0,3688.340088
5.0,1.5,16.65,75.0,2569.790039
0.6,0.18,6.0,1.2,306.269989
0.8,0.48,15.99,8.0,776.940002
0.8,0.48,5.31,8.0,392.559998
2.0,1.8,19.98,30.0,1773.459961
2.0,1.2,13.32,10.0,598.330017
4.0,3.6,39.959999,60.0,3164.790039
2.0,0.6,9.96,4.0,475.299988
0.7,0.42,4.64,3.5,255.800003
0.6,0.18,6.0,3.0,332.670013
1.5,1.35,14.94,7.5,601.77002
11.0,6.6,73.260002,55.0,4774.379883
2.5,1.5,16.65,37.5,1710.98999
11.0,3.3,36.630001,110.0,4391.97998
0.6,0.18,1.98,3.0,137.059998
2.5,1.5,16.65,5.0,651.090027
0.8,0.24,2.64,8.0,293.170013
0.9,0.81,13.5,13.5,1239.609985
0.9,0.54,9.0,13.5,1024.23999
6.5,1.95,32.459999,13.0,2237.77002
0.7,0.42,13.98,3.5,622.849976
4.0,1.2,19.98,8.0,911.539978
0.9,0.54,5.94,13.5,841.0
8.0,7.2,79.919998,40.0,4483.629883
0.5,0.15,2.46,2.5,174.259995
2.5,1.5,24.959999,12.5,1652.77002
8.0,2.4,26.639999,80.0,3059.820068
2.5,1.5,24.959999,25.0,2011.660034
0.6,0.54,9.0,3.0,399.029999
3.0,2.7,45.0,15.0,2561.909912
9.5,2.85,31.59,47.5,2774.189941
0.7,0.42,13.98,10.5,1218.630005
8.0,4.8,79.980003,40.0,4701.560059
3.0,0.9,15.0,6.0,691.179993
0.6,0.18,6.0,3.0,327.799988
0.5,0.3,3.33,1.0,107.239998
5.0,1.5,24.959999,50.0,2513.899902
2.5,2.25,37.5,25.0,2482.919922
6.5,1.95,21.6,97.5,3449.060059
0.6,0.36,6.0,3.0,293.380005
2.0,0.6,6.66,10.0,480.51001
2.5,0.75,8.28,37.5,1442.199951
2.5,1.5,16.65,37.5,1710.140015
0.7,0.21,6.99,3.5,374.059998
0.6,0.18,1.98,1.2,106.739998
0.5,0.45,7.5,2.5,334.720001
9.5,2.85,31.59,142.5,5266.359863
0.9,0.54,18.0,4.5,810.299988
0.8,0.72,7.92,1.6,216.779999
0.9,0.81,9.0,13.5,980.859985
9.5,8.55,142.5,47.5,7667.660156
2.5,0.75,12.48,37.5,1564.969971
0.5,0.15,1.64,7.5,222.029999
0.7,0.63,6.93,1.4,305.059998
0.8,0.72,12.0,8.0,724.51001
0.6,0.36,6.0,1.2,158.809998
0.5,0.15,4.98,2.5,281.950012
0.7,0.42,4.64,10.5,735.219971
0.8,0.48,5.31,8.0,397.0
0.9,0.27,4.5,4.5,291.700012
0.8,0.48,15.99,12.0,1361.599976
9.5,5.7,63.27,19.0,3438.389893
0.7,0.42,6.96,3.5,330.399994
3.0,0.9,15.0,6.0,889.380005
8.0,2.4,39.959999,80.0,3773.75
2.5,0.75,8.28,25.0,1221.98999
0.9,0.27,2.97,1.8,167.580002
0.5,0.15,2.46,1.0,107.739998
8.0,2.4,39.959999,16.0,2608.399902
0.6,0.36,3.96,6.0,303.600006
1.5,1.35,22.5,22.5,1830.72998
2.0,1.2,19.98,20.0,1561.890015
0.6,0.18,1.98,3.0,138.690002
11.0,3.3,54.959999,110.0,5201.939941
0.5,0.15,4.98,7.5,444.649994
4.0,2.4,39.959999,60.0,3417.540039
6.5,5.85,64.980003,32.5,3705.610107
0.9,0.27,4.5,4.5,299.570007
0.7,0.63,6.93,10.5,851.380005
6.5,3.9,43.290001,32.5,2901.959961
9.5,2.85,47.459999,142.5,5777.430176
6.5,1.95,32.459999,13.0,2188.47998
11.0,6.6,73.260002,55.0,4913.689941
2.0,1.8,19.98,10.0,779.880005
5.0,1.5,24.959999,75.0,2840.959961
0.8,0.72,12.0,4.0,547.789978
8.0,4.8,53.279999,80.0,4199.060059
0.6,0.18,1.98,6.0,197.789993
0.9,0.54,9.0,13.5,1031.890015
5.0,4.5,49.950001,75.0,3887.77002
0.5,0.15,1.64,5.0,167.0
0.7,0.42,13.98,7.0,682.02002
2.5,1.5,16.65,12.5,1240.550049
11.0,6.6,73.260002,165.0,7694.689941
4.0,1.2,13.32,8.0,790.320007
9.5,5.7,63.27,47.5,4081.550049
9.5,8.55,142.5,95.0,8526.25
11.0,3.3,54.959999,22.0,3628.949951
8.0,2.4,26.639999,16.0,1967.630005
0.8,0.48,15.99,12.0,1364.209961
2.5,1.5,24.959999,25.0,2019.349976
2.0,1.8,19.98,20.0,1521.329956
0.6,0.36,12.0,9.0,767.099976
9.5,2.85,47.459999,47.5,3733.669922
4.0,2.4,39.959999,60.0,3361.120117
8.0,7.2,79.919998,120.0,6134.140137
4.0,2.4,26.639999,40.0,2245.800049
0.6,0.18,1.98,1.2,71.699997
0.9,0.54,18.0,9.0,1079.47998
3.0,2.7,29.969999,45.0,2454.570068
0.5,0.15,4.98,1.0,152.550003
11.0,3.3,36.630001,110.0,4411.910156
0.5,0.45,7.5,5.0,363.519989
0.6,0.18,6.0,9.0,436.48999
6.5,3.9,64.980003,97.5,5254.040039
0.5,0.15,1.64,5.0,164.389999
0.6,0.54,18.0,3.0,794.400024
0.5,0.45,15.0,2.5,655.97998
0.5,0.45,4.95,2.5,238.220001
8.0,7.2,120.0,80.0,7075.549805
0.9,0.27,9.0,13.5,1111.430054
9.5,5.7,94.980003,142.5,8077.879883
0.9,0.54,9.0,9.0,610.76001
0.5,0.3,3.33,7.5,260.070007
2.0,0.6,6.66,30.0,1248.180054
0.6,0.18,3.0,3.0,210.070007
5.0,4.5,75.0,75.0,5174.930176
0.7,0.42,4.64,1.4,211.149994
3.0,0.9,9.99,15.0,1049.77002
0.5,0.45,7.5,7.5,503.450012
4.0,2.4,39.959999,40.0,2987.01001
5.0,4.5,49.950001,75.0,3899.810059
0.9,0.54,9.0,4.5,427.420013
3.0,0.9,9.99,30.0,1372.280029
9.5,8.55,94.949997,47.5,5219.470215
2.5,1.5,24.959999,37.5,2141.97998
1.5,0.9,9.99,22.5,1210.319946
0.6,0.18,6.0,1.2,186.110001
8.0,4.8,53.279999,120.0,4883.209961
0.7,0.21,2.3,7.0,262.119995
8.0,7.2,79.919998,80.0,5479.569824
0.8,0.24,2.64,12.0,721.75
0.5,0.15,4.98,7.5,365.480011
2.5,0.75,8.28,5.0,382.859985
2.0,0.6,6.66,30.0,1321.060059
0.8,0.24,2.64,8.0,307.190002
0.7,0.42,6.96,7.0,418.609985
0.6,0.18,6.0,6.0,393.149994
9.5,2.85,31.59,47.5,2804.169922
9.5,5.7,94.980003,142.5,8099.609863
0.8,0.24,2.64,4.0,188.039993
4.0,1.2,13.32,20.0,1272.800049
1.5,0.45,4.95,22.5,1109.01001
8.0,4.8,79.980003,80.0,5705.390137
3.0,0.9,9.99,30.0,1359.329956
0.7,0.21,6.99,10.5,915.950012
0.8,0.48,7.98,12.0,953.52002
2.0,0.6,6.66,4.0,321.940002
0.9,0.27,2.97,1.8,170.309998
0.5,0.15,1.64,2.5,119.279999
0.5,0.3,4.98,2.5,247.759995
6.5,1.95,21.6,13.0,1598.619995
0.5,0.15,4.98,7.5,363.0
5.0,3.0,49.98,25.0,3079.429932
6.5,1.95,21.6,32.5,2080.149902
2.0,1.8,30.0,10.0,1471.040039
5.0,1.5,24.959999,10.0,1452.209961
0.5,0.15,2.46,1.0,97.419998
6.5,5.85,97.5,65.0,5776.919922
6.5,1.95,32.459999,13.0,2230.639893
0.7,0.63,10.5,7.0,521.859985
9.5,5.7,94.980003,47.5,5569.589844
6.5,5.85,64.980003,97.5,5113.72998
0.5,0.3,3.33,2.5,179.169998
0.7,0.21,2.3,1.4,133.270004
2.0,1.2,13.32,10.0,732.409973
3.0,0.9,9.99,6.0,499.600006
2.0,0.6,6.66,4.0,330.519989
2.0,1.8,19.98,20.0,1535.089966
4.0,2.4,39.959999,60.0,3351.570068
0.9,0.81,13.5,13.5,1239.609985
4.0,2.4,26.639999,8.0,1355.150024
4.0,2.4,26.639999,20.0,1821.709961
0.6,0.54,9.0,3.0,397.5
8.0,4.8,53.279999,16.0,3016.030029
0.8,0.72,12.0,4.0,537.549988
3.0,1.8,19.98,15.0,1431.619995
5.0,3.0,33.299999,50.0,2768.48999
5.0,4.5,75.0,25.0,4154.330078
11.0,3.3,54.959999,55.0,4302.819824
11.0,6.6,73.260002,110.0,5798.919922
9.5,5.7,63.27,95.0,5065.129883
4.0,1.2,19.98,60.0,2414.580078
2.0,0.6,9.96,10.0,683.5
11.0,6.6,73.260002,110.0,5798.540039
0.8,0.24,7.98,8.0,514.619995
0.7,0.42,13.98,1.4,334.230011
3.0,2.7,29.969999,15.0,1809.48999
9.5,8.55,142.5,47.5,7655.819824
6.5,1.95,21.6,13.0,1662.800049
2.0,1.2,13.32,10.0,748.619995
0.6,0.36,3.96,1.2,113.660004
8.0,7.2,120.0,80.0,7086.509766
0.5,0.15,1.64,7.5,210.619995
0.7,0.21,2.3,3.5,157.990005
1.5,1.35,14.94,22.5,1442.060059
5.0,1.5,16.65,25.0,1726.540039
2.0,1.8,30.0,30.0,2275.5
0.8,0.24,2.64,1.6,156.610001
2.5,1.5,16.65,25.0,1567.790039
0.9,0.54,18.0,4.5,810.299988
0.7,0.42,4.64,10.5,715.799988
0.5,0.45,7.5,5.0,362.119995
11.0,3.3,36.630001,165.0,6403.620117
0.6,0.18,3.0,6.0,269.640015
0.7,0.42,13.98,1.4,631.01001
5.0,4.5,49.950001,25.0,3002.189941
0.6,0.36,12.0,6.0,704.440002
0.5,0.15,1.64,2.5,120.089996
4.0,1.2,13.32,60.0,2181.669922
2.5,1.5,24.959999,12.5,1640.180054
6.5,3.9,43.290001,97.5,4111.899902
0.8,0.24,3.96,1.6,224.449997
0.7,0.42,13.98,3.5,631.219971
0.5,0.3,9.99,2.5,456.880005
6.5,1.95,21.6,32.5,1988.089966
9.5,2.85,47.459999,19.0,3087.25
0.6,0.36,12.0,1.2,495.720001
0.6,0.54,9.0,9.0,615.210022
9.5,8.55,94.949997,95.0,6554.069824
5.0,3.0,33.299999,75.0,3168.620117
0.7,0.21,2.3,3.5,155.300003
4.0,3.6,60.0,60.0,4303.060059
0.9,0.27,2.97,4.5,214.800003
5.0,4.5,49.950001,50.0,3568.419922
2.5,1.5,16.65,5.0,631.76001
2.0,0.6,9.96,30.0,1357.920044
0.5,0.15,2.46,7.5,269.130005
4.0,2.4,39.959999,20.0,2420.449951
0.6,0.54,5.94,1.2,152.550003
11.0,3.3,36.630001,55.0,3233.889893
0.6,0.36,12.0,9.0,767.099976
1.5,1.35,14.94,7.5,608.030029
0.6,0.54,18.0,9.0,880.409973
6.5,5.85,97.5,97.5,6809.509766
9.5,2.85,31.59,95.0,3772.23999
6.5,1.95,32.459999,97.5,3970.689941
0.8,0.24,7.98,12.0,1050.26001
5.0,1.5,24.959999,25.0,2170.5
3.0,2.7,45.0,30.0,2842.330078
0.6,0.54,5.94,3.0,278.73999
0.9,0.54,5.94,9.0,462.799988
2.0,1.2,19.98,30.0,1834.579956
0.5,0.45,15.0,1.0,350.540009
3.0,0.9,15.0,30.0,1621.569946
0.5,0.45,4.95,7.5,323.130005
4.0,2.4,26.639999,60.0,2611.620117
0.9,0.81,13.5,4.5,607.289978
2.5,0.75,12.48,5.0,555.0
2.0,1.2,19.98,30.0,1814.689941
2.0,1.2,13.32,30.0,1455.579956
0.5,0.45,7.5,2.5,332.899994
9.5,5.7,63.27,142.5,6361.540039
0.6,0.54,5.94,1.2,152.960007
1.5,0.9,15.0,7.5,626.929993
0.9,0.54,18.0,13.5,1478.459961
0.8,0.72,12.0,4.0,530.179993
2.0,1.8,30.0,20.0,1920.949951
0.9,0.54,9.0,9.0,638.580017
0.7,0.21,2.3,10.5,654.22998
0.5,0.45,15.0,1.0,350.730011
0.6,0.18,3.0,1.2,121.660004
0.8,0.48,5.31,4.0,298.480011
1.5,1.35,14.94,15.0,1228.01001
6.5,5.85,97.5,32.5,5255.759766
0.9,0.27,9.0,13.5,1135.420044
1.5,0.9,15.0,15.0,1261.439941
2.0,1.8,30.0,30.0,2283.419922
0.5,0.45,15.0,7.5,717.059998
2.5,2.25,24.93,37.5,2096.25
2.5,0.75,8.28,12.5,897.419983
0.7,0.42,6.96,10.5,855.849976
0.8,0.24,3.96,12.0,728.549988
0.8,0.24,7.98,12.0,1019.070007
3.0,0.9,15.0,15.0,1332.51001
0.5,0.15,4.98,5.0,304.329987
9.5,5.7,94.980003,95.0,6838.509766
0.5,0.15,4.98,5.0,316.619995
5.0,1.5,24.959999,50.0,2610.399902
0.5,0.3,3.33,7.5,267.369995
0.9,0.27,9.0,4.5,492.809998
0.8,0.72,7.92,12.0,918.580017
9.5,2.85,47.459999,47.5,3759.370117
0.7,0.42,13.98,1.4,327.779999
0.5,0.45,4.95,2.5,237.289993
2.5,0.75,12.48,25.0,1467.079956
5.0,1.5,24.959999,10.0,1120.189941
2.0,0.6,9.96,30.0,1339.23999
5.0,3.0,33.299999,50.0,2769.719971
4.0,2.4,39.959999,20.0,2416.100098
0.7,0.21,3.48,3.5,244.869995
0.8,0.24,2.64,12.0,713.340027
0.6,0.54,5.94,6.0,358.820007
0.7,0.63,6.93,3.5,337.390015
11.0,3.3,36.630001,22.0,2618.199951
0.5,0.15,4.98,5.0,327.690002
4.0,1.2,13.32,20.0,1246.930054
0.6,0.36,6.0,9.0,460.73999
6.5,3.9,64.980003,97.5,5367.22998
4.0,3.6,60.0,20.0,3332.679932
0.8,0.24,3.96,4.0,281.049988
5.0,3.0,49.98,75.0,4016.75
0.9,0.27,9.0,1.8,465.519989
8.0,7.2,79.919998,40.0,4479.870117
0.6,0.54,18.0,6.0,808.809998
0.7,0.42,13.98,3.5,624.799988
5.0,3.0,33.299999,50.0,2752.25
3.0,1.8,30.0,45.0,2655.929932
6.5,3.9,43.290001,13.0,2466.98999
5.0,3.0,49.98,50.0,3646.699951
2.5,2.25,24.93,37.5,2098.600098
4.0,1.2,13.32,8.0,635.02002
8.0,4.8,53.279999,80.0,4172.089844
0.7,0.21,3.48,1.4,137.210007
0.9,0.81,9.0,4.5,413.179993
8.0,7.2,79.919998,80.0,5473.339844
8.0,4.8,79.980003,120.0,6354.060059
0.9,0.27,2.97,13.5,764.140015
4.0,3.6,39.959999,40.0,2844.629883
0.8,0.72,12.0,12.0,1166.910034
0.6,0.54,18.0,3.0,794.400024
0.7,0.63,6.93,10.5,866.77002
0.9,0.27,9.0,1.8,457.690002
0.8,0.48,15.99,4.0,718.780029
1.5,1.35,14.94,7.5,764.47998
0.6,0.18,1.98,1.2,74.330002
3.0,0.9,15.0,15.0,1344.880005
0.9,0.54,5.94,4.5,306.429993
0.7,0.21,2.3,10.5,648.099976
8.0,7.2,120.0,120.0,8250.629883
0.9,0.27,4.5,13.5,795.359985
0.5,0.45,15.0,5.0,674.23999
8.0,2.4,26.639999,40.0,2398.52002
0.6,0.36,3.96,1.2,120.269997
0.8,0.24,7.98,8.0,617.72998
0.5,0.15,4.98,2.5,280.350006
6.5,3.9,43.290001,65.0,3528.350098
3.0,0.9,9.99,30.0,1401.439941
0.7,0.21,6.99,7.0,457.940002
0.7,0.21,3.48,1.4,124.470001
0.7,0.63,6.93,7.0,394.380005
0.8,0.48,7.98,12.0,931.169983
0.6,0.18,3.0,3.0,213.820007
2.5,0.75,8.28,25.0,1249.459961
0.9,0.54,18.0,13.5,1478.459961
0.5,0.15,4.98,2.5,284.730011
0.8,0.48,7.98,8.0,483.019989
0.5,0.45,15.0,7.5,729.359985
2.0,1.8,30.0,30.0,2288.580078
5.0,1.5,24.959999,50.0,2506.5
2.5,1.5,24.959999,12.5,1643.400024
0.7,0.42,13.98,10.5,1219.26001
0.8,0.48,7.98,4.0,383.450012
11.0,3.3,36.630001,165.0,6404.089844
11.0,6.6,73.260002,165.0,7579.810059
0.6,0.54,18.0,6.0,1008.880005
9.5,5.7,63.27,95.0,5082.669922
2.5,2.25,37.5,37.5,2812.02002
8.0,4.8,53.279999,80.0,4235.830078
0.8,0.48,15.99,1.6,680.849976
0.5,0.3,9.99,5.0,484.809998
11.0,6.6,73.260002,22.0,4177.609863
8.0,2.4,26.639999,16.0,1896.910034
9.5,8.55,142.5,95.0,8529.129883
0.7,0.21,2.3,1.4,96.43
0.7,0.21,2.3,1.4,97.68
2.5,2.25,24.93,12.5,1597.349976
0.9,0.27,2.97,1.8,136.740005
1.5,0.9,15.0,15.0,1266.310059
0.9,0.54,5.94,1.8,172.639999
6.5,1.95,21.6,97.5,3418.5
3.0,1.8,30.0,45.0,2615.050049
4.0,3.6,39.959999,60.0,3156.540039
4.0,2.4,39.959999,20.0,2425.699951
11.0,3.3,54.959999,110.0,5223.379883
3.0,1.8,19.98,15.0,1445.920044
0.7,0.21,6.99,10.5,950.909973
3.0,2.7,45.0,45.0,3270.830078
2.0,1.2,13.32,4.0,540.130005
2.0,1.2,13.32,20.0,1224.949951
8.0,2.4,26.639999,120.0,4019.72998
4.0,2.4,26.639999,40.0,2245.01001
